,year,month,day,hour,Title_sentiment,Comment_sentiment,return,senti
51620,2021,1,5,16,0.25714285714285756,0.07220227272727273,-0.0068649885583524925,0.3293451298701303
51928,2021,1,5,17,-0.1369600000000006,0.08934736842105263,-0.0005717552887363198,-0.047612631578947975
52213,2021,1,5,18,0.25534000000000034,0.14741136363636365,0.0,0.402751363636364
52433,2021,1,5,19,-0.08510000000000001,0.07608936170212768,-0.005119453924914641,-0.009010638297872325
52715,2021,1,5,20,0.25616666666666726,-0.07020555555555556,0.016184971098265773,0.1859611111111117
53039,2021,1,5,21,0.14259999999999995,0.03844,,0.18103999999999995
53144,2021,1,5,22,0.28544000000000025,0.06123559322033898,,0.34667559322033925
53439,2021,1,5,23,0.0,0.08532212389380531,,0.08532212389380531
53552,2021,1,6,0,0.0,0.08557,,0.08557
53632,2021,1,6,1,-0.15843333333333348,0.14813600000000005,,-0.010297333333333436
53782,2021,1,6,2,0.08939999999999998,0.030089062500000027,,0.1194890625
54166,2021,1,6,3,0.0,-0.06523409090909092,,-0.06523409090909092
54210,2021,1,6,4,-0.17914000000000002,0.19356808510638296,,0.014428085106382937
54445,2021,1,6,5,0.518199999999999,0.11997179487179482,0.0017371163867980766,0.6381717948717938
54562,2021,1,6,6,0.0,-0.0190342105263158,-0.01707455890722831,-0.0190342105263158
54600,2021,1,6,7,0.0,0.09270833333333332,,0.09270833333333332
54636,2021,1,6,8,0.6908,0.10536875,0.0011396011396012096,0.79616875
54652,2021,1,6,9,-0.0772,0.10722000000000002,-0.0034071550255535548,0.03002000000000002
54657,2021,1,6,10,0.5399000000000002,0.14533846153846153,-0.04293478260869565,0.6852384615384617
54670,2021,1,6,11,-0.3182,-0.009949999999999995,-0.014989293361884481,-0.32815
54682,2021,1,6,12,0.0,0.11439333333333333,-0.005324813631522929,0.11439333333333333
54697,2021,1,6,13,0.24967500000000004,0.19041999999999998,-0.0021253985122210444,0.440095
54737,2021,1,6,14,0.3715,0.2617833333333333,0.03236423477783878,0.6332833333333333
54749,2021,1,6,15,0.0843,0.03751764705882352,-0.008700380641653127,0.12181764705882352
54919,2021,1,6,16,-0.1355750000000001,0.2251514285714286,0.004918032786885185,0.0895764285714285
55059,2021,1,6,17,0.1272666666666666,0.009114285714285712,-0.02659574468085102,0.13638095238095232
55206,2021,1,6,18,0.28249999999999986,0.05995999999999999,0.01566720691518086,0.3424599999999999
55266,2021,1,6,19,0.18747499999999997,-0.009149999999999997,-0.010160427807486494,0.17832499999999998
55450,2021,1,6,20,0.09866666666666665,0.18032222222222224,-0.01734104046242779,0.2789888888888889
55477,2021,1,6,21,0.04582499999999981,-0.026017647058823538,,0.019807352941176273
55545,2021,1,6,22,0.07078750000000002,-0.23348749999999993,,-0.1626999999999999
55609,2021,1,6,23,0.2237749999999999,0.08562499999999998,,0.3093999999999999
55673,2021,1,7,0,-0.12970000000000004,0.15002500000000002,,0.020324999999999982
55733,2021,1,7,1,-0.09866666666666667,0.0,,-0.09866666666666667
55739,2021,1,7,2,-0.1027,0.10725000000000001,,0.004550000000000012
55743,2021,1,7,3,0.33666666666666684,0.14974166666666663,,0.48640833333333344
55779,2021,1,7,4,0.0,-0.013606666666666663,,-0.013606666666666663
55854,2021,1,7,5,-0.16890000000000002,0.12269000000000001,,-0.046210000000000015
55864,2021,1,7,6,0.0,0.34672500000000006,0.0015789473684211242,0.34672500000000006
55880,2021,1,7,7,0.0,0.08978,0.0,0.08978
55885,2021,1,7,8,0.0,-0.048685714285714284,0.0,-0.048685714285714284
55892,2021,1,7,9,0.0,0.17020000000000002,-0.020618556701030855,0.17020000000000002
55895,2021,1,7,10,0.0,-0.5104500000000001,0.029177718832891,-0.5104500000000001
55897,2021,1,7,11,0.0,-0.06914000000000001,0.015625000000000222,-0.06914000000000001
55902,2021,1,7,12,0.0,0.0,-0.0010764262648008671,0.0
55903,2021,1,7,13,0.1998,0.0,0.010331702011962872,0.1998
55906,2021,1,7,14,-0.0010000000000000009,0.0,0.006017505470459428,-0.0010000000000000009
55908,2021,1,7,15,-0.18060000000000004,0.1783857142857143,0.008830022075055233,-0.002214285714285752
55922,2021,1,7,16,0.47240000000000026,0.11404193548387098,-0.007123287671232825,0.5864419354838712
55953,2021,1,7,17,0.09866666666666657,0.06749032258064518,0.0,0.16615698924731176
56139,2021,1,7,18,0.2959999999999998,0.11015909090909094,-0.0005476451259585068,0.40615909090909075
56183,2021,1,7,19,0.0,0.10185500000000003,-0.0076086956521737035,0.10185500000000003
56223,2021,1,7,20,0.17790000000000006,0.041157894736842116,0.01713653952459926,0.21905789473684217
56242,2021,1,7,21,0.0,0.043187096774193565,,0.043187096774193565
56273,2021,1,7,22,0.0,0.05553000000000001,,0.05553000000000001
56293,2021,1,7,23,0.21075,0.07746315789473684,,0.28821315789473684
56369,2021,1,8,0,-0.32244999999999996,-0.03069999999999999,,-0.35314999999999996
56393,2021,1,8,1,0.0,0.24095833333333336,,0.24095833333333336
56405,2021,1,8,2,0.0,0.014299999999999995,,0.014299999999999995
56412,2021,1,8,3,0.0,0.25955,,0.25955
56426,2021,1,8,4,-0.1404,-0.08543333333333333,,-0.22583333333333333
56444,2021,1,8,5,0.34,0.11364,,0.45364000000000004
56449,2021,1,8,6,0.0,-0.09517142857142857,-0.0136314067611778,-0.09517142857142857
56470,2021,1,8,7,0.0,0.08233749999999998,,0.08233749999999998
56478,2021,1,8,8,0.0,0.3614428571428571,0.0005455537370431252,0.3614428571428571
56485,2021,1,8,9,0.0,-0.42419999999999997,0.04147727272727253,-0.42419999999999997
56488,2021,1,8,10,0.0,0.25851999999999997,0.0017074558907228534,0.25851999999999997
56493,2021,1,8,11,0.0,0.0,0.0011396011396012096,0.0
56494,2021,1,8,12,0.0,0.0,-0.01845637583892612,0.0
56495,2021,1,8,13,0.7783,-0.026624999999999982,0.015909090909090873,0.751675
56499,2021,1,8,14,0.4033142857142857,0.0,-0.015659955257270597,0.4033142857142857
56506,2021,1,8,15,0.16507500000000003,0.25599999999999995,0.010740531373657271,0.421075
56518,2021,1,8,16,0.11124000000000007,0.11819722222222227,-0.0117318435754189,0.22943722222222235
56698,2021,1,8,17,0.13958000000000015,0.029180487804878055,0.0,0.1687604878048782
56903,2021,1,8,18,0.10276666666666658,0.10233414634146344,-0.003895381190873737,0.20510081300813002
57149,2021,1,8,19,-0.007640000000000001,0.009387500000000005,0.015254237288135462,0.0017475000000000043
57309,2021,1,8,20,0.1387,0.21079666666666658,0.03327495621716281,0.34949666666666657
57579,2021,1,8,21,0.27940000000000065,0.17814799999999995,,0.4575480000000006
57729,2021,1,8,22,-0.15283333333333346,0.050672727272727265,,-0.1021606060606062
57828,2021,1,8,23,-0.08567999999999998,0.08865882352941172,,0.002978823529411742
57998,2021,1,9,0,0.059199999999999996,0.08191999999999998,,0.14111999999999997
58073,2021,1,9,1,0.0,0.039470588235294105,,0.039470588235294105
58158,2021,1,9,2,0.7350999999999996,0.1140380952380952,,0.8491380952380948
58179,2021,1,9,3,0.4019000000000001,0.09869166666666669,,0.5005916666666668
58203,2021,1,9,4,0.0,0.19568999999999998,,0.19568999999999998
58213,2021,1,9,5,0.0,-0.05751666666666666,,-0.05751666666666666
58219,2021,1,9,6,0.0,0.07025833333333333,,0.07025833333333333
58231,2021,1,9,7,0.0,-0.042333333333333355,,-0.042333333333333355
58234,2021,1,9,8,0.0,0.0,,0.0
58235,2021,1,9,9,0.0,0.3239666666666667,,0.3239666666666667
58238,2021,1,9,10,0.0,0.10251428571428571,,0.10251428571428571
58245,2021,1,9,11,0.0,-0.04773,,-0.04773
58255,2021,1,9,12,0.0,0.30605,,0.30605
58259,2021,1,9,13,0.8636,-0.4566666666666667,,0.4069333333333333
58262,2021,1,9,14,0.0,-0.0031666666666666696,,-0.0031666666666666696
58268,2021,1,9,15,0.0,0.020112500000000005,,0.020112500000000005
58276,2021,1,9,16,0.0,0.08595714285714284,,0.08595714285714284
58283,2021,1,9,17,0.4168,-0.03251666666666666,,0.38428333333333337
58289,2021,1,9,18,0.0,0.08231666666666666,,0.08231666666666666
58295,2021,1,9,19,0.0,0.0,,0.0
58297,2021,1,9,20,0.2235,0.11313333333333335,,0.33663333333333334
58303,2021,1,9,21,0.05230769230769229,-0.056924999999999955,,-0.004617307692307664
58407,2021,1,9,22,0.038275,0.3188,,0.357075
58443,2021,1,9,23,0.010233333333333379,-0.05032222222222223,,-0.040088888888888854
58497,2021,1,10,0,0.3864599999999999,0.2962000000000001,,0.68266
58542,2021,1,10,1,0.148,-0.08201666666666667,,0.06598333333333332
58554,2021,1,10,2,-0.18528,0.09105882352941176,,-0.09422117647058824
58639,2021,1,10,3,0.068,-0.12602000000000002,,-0.058020000000000016
58664,2021,1,10,4,0.436,-0.01873076923076923,,0.4172692307692308
58690,2021,1,10,5,0.0,0.15537333333333336,,0.15537333333333336
58705,2021,1,10,6,0.7096,0.06833571428571429,,0.7779357142857143
58719,2021,1,10,7,0.0,0.180325,,0.180325
58723,2021,1,10,8,-0.38180000000000003,-0.008342857142857152,,-0.3901428571428572
58730,2021,1,10,9,0.0,0.07955,,0.07955
58734,2021,1,10,10,0.0,0.22998461538461537,,0.22998461538461537
58747,2021,1,10,11,0.0,0.08429999999999999,,0.08429999999999999
58753,2021,1,10,12,0.0,-0.29286,,-0.29286
58758,2021,1,10,13,0.3040750000000001,-0.08235999999999999,,0.2217150000000001
58778,2021,1,10,14,-0.09966666666666658,0.06441428571428569,,-0.035252380952380896
58799,2021,1,10,15,0.0,0.08157857142857146,,0.08157857142857146
58841,2021,1,10,16,0.1212333333333333,0.03484499999999999,,0.1560783333333333
