,year,month,day,hour,nltk Sentiment,emoji senitment,sentiment,open,high,low,close,volume,return
9833,2020,12,24,9,0.15552619047619057,0.07142857142857142,0.30952380952380953,21.17,21.17,20.75,21.13,25497.0,0.0
9874,2020,12,24,10,0.023529411764705924,0.11764705882352941,0.058823529411764705,21.14,21.48,20.56,21.13,1900456.0,0.02176015473887816
9891,2020,12,24,11,-0.027019230769230733,0.11538461538461539,0.038461538461538464,21.13,21.15,20.58,20.68,1348044.0,0.003883495145631022
9979,2020,12,24,12,0.012633333333333333,0.06666666666666667,0.13333333333333333,20.67,20.75,20.16,20.6,1200049.0,0.01980198019801982
10005,2020,12,24,13,0.12254000000000002,0.06666666666666667,0.4,20.6,20.6,19.95,20.2,1610258.0,0.0024813895781639057
10044,2020,12,24,14,0.03745813953488371,0.06976744186046512,0.20930232558139536,20.15,20.15,20.15,20.15,62913.0,0.0
10303,2020,12,24,15,0.10998510638297873,0.06382978723404255,0.19148936170212766,,,,,,
10304,2020,12,24,16,0.16191199999999994,0.08,0.34,20.15,20.15,20.15,20.15,0.0,-0.005429417571569784
10983,2020,12,24,17,0.03731923076923078,0.10256410256410256,0.1794871794871795,20.26,20.26,20.26,20.26,200.0,-0.13009875483039926
11358,2020,12,24,18,-0.011400000000000004,0.0821917808219178,0.0547945205479452,,,,,,
11359,2020,12,24,19,0.07732888888888888,0.06666666666666667,0.17777777777777778,,,,,,
11360,2020,12,24,20,0.07945714285714288,0.08571428571428572,0.2857142857142857,,,,,,
11361,2020,12,24,21,0.1426923076923077,0.0,0.23076923076923078,,,,,,
11362,2020,12,24,22,0.10134375,0.125,0.3125,,,,,,
11363,2020,12,24,23,0.030507692307692316,0.07692307692307693,0.15384615384615385,,,,,,
11364,2020,12,25,0,0.1840333333333333,0.20833333333333334,0.5833333333333334,,,,,,
11365,2020,12,25,1,0.22024333333333337,0.16666666666666666,0.43333333333333335,,,,,,
11366,2020,12,25,2,0.1696153846153846,0.15384615384615385,0.5384615384615384,,,,,,
11367,2020,12,25,3,0.2631695652173913,0.17391304347826086,0.6086956521739131,,,,,,
11368,2020,12,25,4,0.09300769230769232,0.07692307692307693,0.3076923076923077,,,,,,
11369,2020,12,25,5,0.14179999999999998,0.07692307692307693,0.4230769230769231,,,,,,
11370,2020,12,25,6,0.176075,0.1,0.45,,,,,,
11371,2020,12,25,7,0.18373809523809526,0.047619047619047616,0.3333333333333333,,,,,,
11372,2020,12,25,8,0.01268000000000002,0.2,0.25,,,,,,
11373,2020,12,25,9,0.04400000000000002,0.0,0.0,,,,,,
11374,2020,12,25,10,0.5792166666666667,0.0,0.8333333333333334,,,,,,
11375,2020,12,25,11,0.0,0.0,0.0,,,,,,
11376,2020,12,25,12,0.3601,0.0,1.0,,,,,,
11377,2020,12,25,13,0.23416666666666666,0.0,0.6666666666666666,,,,,,
11378,2020,12,25,14,0.29295,0.0,0.5,,,,,,
11379,2020,12,25,15,0.1381857142857143,0.14285714285714285,0.0,,,,,,
11380,2020,12,25,16,0.13567000000000004,0.0,0.1,,,,,,
11381,2020,12,25,17,0.06233999999999999,0.15,0.25,,,,,,
11382,2020,12,25,18,0.1719076923076923,0.1282051282051282,0.3333333333333333,,,,,,
11383,2020,12,25,19,0.21134769230769238,0.12307692307692308,0.38461538461538464,,,,,,
11384,2020,12,25,20,0.1875046875,0.140625,0.40625,,,,,,
11385,2020,12,25,21,0.22421090909090913,0.14545454545454545,0.38181818181818183,,,,,,
11386,2020,12,25,22,0.11170600000000003,0.12,0.2,,,,,,
11387,2020,12,25,23,0.21561276595744683,0.1276595744680851,0.3404255319148936,,,,,,
11388,2020,12,26,0,0.08070000000000001,0.13793103448275862,0.20689655172413793,,,,,,
11389,2020,12,26,1,0.10475250000000003,0.2,0.35,,,,,,
11390,2020,12,26,2,0.07887352941176473,0.058823529411764705,0.029411764705882353,,,,,,
11391,2020,12,26,3,0.044156,0.04,0.08,,,,,,
11392,2020,12,26,4,0.112025925925926,0.18518518518518517,0.2962962962962963,,,,,,
11393,2020,12,26,5,0.07817647058823532,0.08823529411764706,0.11764705882352941,,,,,,
11394,2020,12,26,6,0.2332103448275862,0.2413793103448276,0.6551724137931034,,,,,,
11395,2020,12,26,7,0.013858823529411767,0.058823529411764705,0.14705882352941177,,,,,,
11396,2020,12,26,8,0.061648148148148146,0.07407407407407407,0.2222222222222222,,,,,,
11397,2020,12,26,9,0.16889523809523815,0.0,0.23809523809523808,,,,,,
11398,2020,12,26,10,0.10290909090909092,0.18181818181818182,0.2727272727272727,,,,,,
11399,2020,12,26,11,0.2127272727272727,0.18181818181818182,0.2727272727272727,,,,,,
11400,2020,12,26,12,0.27147,0.0,0.5,,,,,,
11401,2020,12,26,13,0.05252499999999999,0.0,0.0,,,,,,
11402,2020,12,26,14,0.33601249999999994,0.25,0.5,,,,,,
11403,2020,12,26,15,0.22767777777777778,0.0,0.4444444444444444,,,,,,
11404,2020,12,26,16,0.19719166666666665,0.08333333333333333,0.3333333333333333,,,,,,
11405,2020,12,26,17,0.214795,0.15,0.55,,,,,,
11406,2020,12,26,18,0.17637499999999998,0.25,0.5,,,,,,
11407,2020,12,26,19,0.04019565217391304,0.08695652173913043,0.13043478260869565,,,,,,
11408,2020,12,26,20,0.18366538461538467,0.038461538461538464,0.23076923076923078,,,,,,
11409,2020,12,26,21,0.1306871794871795,0.23076923076923078,0.23076923076923078,,,,,,
11410,2020,12,26,22,0.16393000000000005,0.14,0.36,,,,,,
11411,2020,12,26,23,0.10849148936170211,0.19148936170212766,0.2978723404255319,,,,,,
11412,2020,12,27,0,0.07970888888888887,0.15555555555555556,0.3111111111111111,,,,,,
11413,2020,12,27,1,0.11764655172413795,0.20689655172413793,0.3620689655172414,,,,,,
11414,2020,12,27,2,0.12979999999999994,0.05454545454545454,0.2727272727272727,,,,,,
11415,2020,12,27,3,0.09618888888888891,0.2222222222222222,0.3333333333333333,,,,,,
